sample
MNP_Iso_BS62H9_Atailprep_hq
MNP_Iso_BS6_Atailprep_hq
MNP_Iso_BS62H9_STDprep_hq
MNP_Iso_BS6_STDprepa_hq
MNP_Iso_BS62H9_Atailprep_lq
MNP_Iso_BS6_Atailprep_lq
MNP_Iso_BS62H9_STDprep_lq
MNP_Iso_BS6_STDprepa_lq
